,specimen_id,image_series_id,errors,layer_depth,layer_thickness,normalized_layer_depth,normalized_depth,absolute_depth,cortex_thickness,wm_distance,layer
62,648593656,651661908,[],92.34286062700502,138.27481930517695,0.6678212352113176,0.096657524329898,92.62202254235783,958.2494811912752,865.6274586489174,Layer1
63,648594299,651662276,Missing pia/wm.,,,,,,,,
64,648607165,651665279,[],116.72342439343569,163.64670759032597,0.7132647280973212,0.25864066286175785,254.50519864962936,984.0107732234707,729.5055745738413,Layer2/3
65,648605614,651665279,Missing soma center,,,,,,,,
66,648892990,651674235,All cells in slice failed unexpectedly: {648892990: 'Point not found in any layer'},,,,,,,,
67,649008116,651685344,No soma centers found.,,,,,,,,
68,649012415,651685814,No soma centers found.,,,,,,,,
69,649382312,651688063,No soma centers found.,,,,,,,,
70,650132917,652950602,No soma centers found.,,,,,,,,
71,650156059,652950671,[],61.591427122719764,125.15097080770344,0.49213703038193785,0.06641024985433784,65.2360064712608,982.3183411348008,917.08233466354,Layer1
72,650161028,652950923,No soma centers found.,,,,,,,,
73,650172921,652951300,No soma centers found.,,,,,,,,
74,650176200,652951300,No soma centers found.,,,,,,,,
75,650476171,652951760,[],4.078738134711058,223.38371451338418,0.01825888759883916,0.19455760236654168,228.95112203383624,1176.7780813956476,947.8269593618113,Layer2/3
76,650484677,652951760,Missing soma center,,,,,,,,
77,651151937,652952650,No soma centers found.,,,,,,,,
78,651161691,652952650,No soma centers found.,,,,,,,,
79,651167896,652952650,No soma centers found.,,,,,,,,
80,652300499,656861891,[],175.6316803161975,254.1650971561558,0.6910141568662814,0.26902451594952553,290.7254355261527,1080.6652118675263,789.9397763413737,Layer2/3
81,652303366,656861891,[],132.77681903108027,225.4319848354303,0.5889883777051863,0.8631508209810711,886.2891031840143,1026.8067661415694,140.5176629575552,Layer6a
82,652305423,656861953,[],120.71115659984197,193.779924560295,0.6229291133936966,0.8701516590985396,903.0166383276078,1037.7692542276086,134.75261590000076,Layer6a
83,653203017,656864663,[],111.03784185620252,139.0674534450948,0.7984459275371815,0.11137305222127698,115.1714113993463,1034.104831485831,918.9334200864847,Layer1
84,653199987,656864663,Missing soma center,,,,,,,,
85,652810157,656864758,No soma centers found.,,,,,,,,
86,652811224,656864758,No soma centers found.,,,,,,,,
87,652812484,656864856,[],82.6346099978776,303.40971388996644,0.2723532115647609,0.20596321598639222,211.20240563775226,1025.4375016736299,814.2350960358776,Layer2/3
88,653677436,656866375,Missing pia/wm.,,,,,,,,
89,654356514,656866609,No soma centers found.,,,,,,,,
90,654407470,656866609,No soma centers found.,,,,,,,,
91,654689557,656866711,Missing pia/wm.,,,,,,,,
92,652938130,656867263,No soma centers found.,,,,,,,,
93,652953931,656867721,No soma centers found.,,,,,,,,
94,652953971,656868886,No soma centers found.,,,,,,,,
95,652958618,656874532,No soma centers found.,,,,,,,,
96,652959132,656874532,No soma centers found.,,,,,,,,
