"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"CACNA1E",0.21,-135.679023269064,0.58,-195.743454022937,0.745,0.952,"MC4R","CACNA1E"
"PEX5L.1",0.787,-160.695971861683,0.574,-231.835281695683,1,0.949,"MC4R","PEX5L"
"RIMS1.1",0.213,-103.661097335692,0.574,-149.551351059311,0.994,0.999,"MC4R","RIMS1"
"FGF14.1",0.216,-258.673610573979,0.568,-373.187135183923,1,1,"MC4R","FGF14"
"PCSK2.1",0.779,-36.5875302773413,0.558,-52.7846484894952,1,0.962,"MC4R","PCSK2"
"RBFOX1.2",0.221,-92.5692094145973,0.558,-133.549139361451,1,1,"MC4R","RBFOX1"
"RGS7.1",0.222,-122.832158659987,0.556,-177.20934616045,1,1,"MC4R","RGS7"
"SLC6A7",0.777,Inf,0.554,Inf,0.65,0.146,"MC4R","SLC6A7"
"EPHA4",0.776,62.9652082363923,0.552,90.839593671184,0.917,0.62,"MC4R","EPHA4"
"HTR1F",0.775,-1.34090321364476,0.55,-1.9345144166374,0.917,0.695,"MC4R","HTR1F"
"PIP5K1B",0.225,-Inf,0.55,-Inf,0.783,0.968,"MC4R","PIP5K1B"
"EYA4",0.227,-Inf,0.546,-Inf,0.248,0.661,"MC4R","EYA4"
"DOK6.1",0.772,47.1552145560761,0.544,68.030594192106,1,0.962,"MC4R","DOK6"
"ELAVL2.1",0.771,-53.1595497997816,0.542,-76.6930188720349,0.987,0.869,"MC4R","ELAVL2"
"OLFM1",0.229,-271.579676602555,0.542,-391.806652640735,0.42,0.838,"MC4R","OLFM1"
"LOC101930053",0.229,-Inf,0.542,-Inf,0.197,0.651,"MC4R","LOC101930053"
"MAPK10",0.23,-74.7600688739195,0.54,-107.855980620921,0.994,0.998,"MC4R","MAPK10"
"ASTN2",0.231,-179.500076565662,0.538,-258.963870300469,0.783,0.911,"MC4R","ASTN2"
"LDB2",0.767,-5.2812075022478,0.534,-7.61917187339847,0.943,0.739,"MC4R","LDB2"
"MGAT4C.2",0.235,-Inf,0.53,-Inf,0.994,0.996,"MC4R","MGAT4C"
"LRRTM4.2",0.762,-10.360228758401,0.524,-14.9466506522204,1,0.98,"MC4R","LRRTM4"
"ATP2C1",0.762,186.711799881009,0.524,269.368187763784,0.994,0.898,"MC4R","ATP2C1"
"SOX2-OT",0.238,-Inf,0.524,-Inf,0.968,0.997,"MC4R","SOX2-OT"
"DPY19L1",0.238,-Inf,0.524,-Inf,0.236,0.674,"MC4R","DPY19L1"
"SNTG1.1",0.76,-201.235544263698,0.52,-290.321521759829,1,0.992,"MC4R","SNTG1"
"RPS6KA5",0.76,Inf,0.52,Inf,0.885,0.647,"MC4R","RPS6KA5"
"KCNAB1.1",0.24,-Inf,0.52,-Inf,0.955,0.983,"MC4R","KCNAB1"
"CBLN4.1",0.24,-Inf,0.52,-Inf,0.083,0.573,"MC4R","CBLN4"
"VAV2",0.241,-Inf,0.518,-Inf,0.35,0.708,"MC4R","VAV2"
"TTN",0.758,Inf,0.516,Inf,0.911,0.698,"MC4R","TTN"
"MAP3K5.1",0.242,-Inf,0.516,-Inf,0.573,0.785,"MC4R","MAP3K5"
"SPATS2L.1",0.244,-290.916196297775,0.512,-419.70335371308,0.382,0.748,"MC4R","SPATS2L"
"PLAGL1",0.244,-Inf,0.512,-Inf,0.236,0.645,"MC4R","PLAGL1"
"SLC2A13.1",0.246,-143.605100431299,0.508,-207.178366238597,0.898,0.982,"MC4R","SLC2A13"
"TMEM132B.1",0.247,-175.833093367155,0.506,-253.67353182496,0.987,0.995,"MC4R","TMEM132B"
"DCC.1",0.751,-281.023876441047,0.502,-405.431752912891,0.994,0.956,"MC4R","DCC"
"SGCZ.3",0.068,-Inf,0.864,-Inf,0.857,0.982,"VIP","SGCZ"
"RGS7.2",0.081,-213.905027763799,0.838,-308.599722776048,1,1,"VIP","RGS7"
"CACNA2D1.3",0.081,-626.751731268415,0.838,-904.211614569514,0.571,0.94,"VIP","CACNA2D1"
"KCNQ5.1",0.903,82.543050260651,0.806,119.08444927089,1,0.998,"VIP","KCNQ5"
"GRIA4.3",0.107,-579.845235253033,0.786,-836.539845382645,0.619,0.931,"VIP","GRIA4"
"BRINP2.2",0.11,-Inf,0.78,-Inf,0.119,0.826,"VIP","BRINP2"
"LRRTM4.3",0.889,-34.4083052512909,0.778,-49.6406913514311,1,0.982,"VIP","LRRTM4"
"CSMD1.1",0.111,-151.372111177658,0.778,-218.3837941249,1,0.997,"VIP","CSMD1"
"ASIC2.2",0.887,-162.98345735774,0.774,-235.135425676949,1,0.954,"VIP","ASIC2"
"NRXN3.2",0.885,-42.6349402952599,0.77,-61.5092169325684,1,1,"VIP","NRXN3"
"GRIK1",0.115,-Inf,0.77,-Inf,0.976,0.979,"VIP","GRIK1"
"PRKD1.3",0.882,Inf,0.764,Inf,1,0.909,"VIP","PRKD1"
"KCNIP4",0.121,-130.912978654045,0.758,-188.867505092194,0.976,1,"VIP","KCNIP4"
"UNC5D.2",0.122,-439.563241385982,0.756,-634.155708504634,0.714,0.955,"VIP","UNC5D"
"CDH11",0.877,Inf,0.754,Inf,0.929,0.494,"VIP","CDH11"
"PTCHD4.3",0.124,-Inf,0.752,-Inf,0.381,0.847,"VIP","PTCHD4"
"TRPM3.1",0.872,105.136091383662,0.744,151.679317657659,1,0.783,"VIP","TRPM3"
"SORCS1.3",0.86,-Inf,0.72,-Inf,1,0.994,"VIP","SORCS1"
"MCTP1.3",0.143,-550.271476294373,0.714,-793.873929992541,0.762,0.955,"VIP","MCTP1"
"NPAS3.1",0.856,-Inf,0.712,-Inf,1,0.976,"VIP","NPAS3"
"ZNF385D",0.145,-Inf,0.71,-Inf,1,0.996,"VIP","ZNF385D"
"GRM5.2",0.15,-264.132210325287,0.7,-381.062229975332,0.905,0.971,"VIP","GRM5"
"FAM135B.1",0.152,-343.369410436023,0.696,-495.377345629017,0.5,0.862,"VIP","FAM135B"
"MPPED1.2",0.153,-Inf,0.694,-Inf,0.429,0.831,"VIP","MPPED1"
"MYRIP",0.155,-386.860407309359,0.69,-558.121591141497,0.881,0.987,"VIP","MYRIP"
"ALK.1",0.155,-Inf,0.69,-Inf,0.643,0.91,"VIP","ALK"
"ADAMTS19.2",0.156,-Inf,0.688,-Inf,0.643,0.9,"VIP","ADAMTS19"
"CAMK4.1",0.84,79.1022039188697,0.68,114.120357317141,1,0.891,"VIP","CAMK4"
"BCL11A.2",0.16,-484.453543424724,0.68,-698.918724639935,0.238,0.759,"VIP","BCL11A"
"GRID2.1",0.839,-Inf,0.678,-Inf,1,0.982,"VIP","GRID2"
"CELF2",0.163,-58.1657817345119,0.674,-83.9154848578102,0.881,0.991,"VIP","CELF2"
"LOC440040.2",0.169,-534.527235592903,0.662,-771.159792009968,0.571,0.906,"VIP","LOC440040"
"CNTN5.1",0.827,-Inf,0.654,-Inf,1,1,"VIP","CNTN5"
"LARGE.2",0.826,105.218259285818,0.652,151.797860882618,1,0.979,"VIP","LARGE"
"CNTN3.1",0.825,-215.386485836195,0.65,-310.737014990379,0.976,0.724,"VIP","CNTN3"
"ROBO1.1",0.821,-97.9622912404377,0.642,-141.3297117667,1,0.98,"VIP","ROBO1"
"FRAS1.2",0.18,-Inf,0.64,-Inf,0.857,0.937,"VIP","FRAS1"
"GPC6",0.819,-340.135287264715,0.638,-490.711492168147,0.952,0.777,"VIP","GPC6"
"ARPP21.2",0.819,-222.288598871672,0.638,-320.694659238317,1,0.646,"VIP","ARPP21"
"SIPA1L1.2",0.183,-155.582232671045,0.634,-224.45771552495,0.952,1,"VIP","SIPA1L1"
"CACNA1A.2",0.185,-180.986633478395,0.63,-261.108518586469,0.976,0.996,"VIP","CACNA1A"
"NXPH1.1",0.188,-Inf,0.624,-Inf,0.643,0.848,"VIP","NXPH1"
"MACROD2.3",0.188,-511.217407387793,0.624,-737.530818454482,1,1,"VIP","MACROD2"
"HTR1F.1",0.81,6.21153158344919,0.62,8.96134581176727,0.976,0.716,"VIP","HTR1F"
"KCNH7",0.195,-292.471714273497,0.61,-421.947491782668,0.595,0.895,"VIP","KCNH7"
"PDE7B.1",0.804,-Inf,0.608,-Inf,0.952,0.687,"VIP","PDE7B"
"LINC01122",0.196,-444.987751454667,0.608,-641.981622279978,0.548,0.803,"VIP","LINC01122"
"CDH7.1",0.799,-Inf,0.598,-Inf,0.833,0.394,"VIP","CDH7"
"MIR181A1HG.1",0.201,-576.335992884933,0.598,-831.477078820909,0.214,0.679,"VIP","MIR181A1HG"
"NXPH2.1",0.202,-Inf,0.596,-Inf,0.119,0.645,"VIP","NXPH2"
"NRG1.3",0.203,-557.998049783791,0.594,-805.021019248788,0.857,0.94,"VIP","NRG1"
"KCNT2",0.796,-Inf,0.592,-Inf,1,0.967,"VIP","KCNT2"
"TOX2.1",0.204,-Inf,0.592,-Inf,0.429,0.768,"VIP","TOX2"
"UNC5A",0.795,-96.3448279467023,0.59,-138.996205494008,0.81,0.304,"VIP","UNC5A"
"TIAM1.1",0.205,-Inf,0.59,-Inf,0.976,0.98,"VIP","TIAM1"
"UTRN.3",0.209,-Inf,0.582,-Inf,0.571,0.837,"VIP","UTRN"
"SV2C.3",0.21,-Inf,0.58,-Inf,0.476,0.761,"VIP","SV2C"
"LAMP5.3",0.214,-Inf,0.572,-Inf,0.095,0.612,"VIP","LAMP5"
"EPHB6.1",0.214,-Inf,0.572,-Inf,0.048,0.594,"VIP","EPHB6"
"EYA4.1",0.215,-Inf,0.57,-Inf,0.095,0.623,"VIP","EYA4"
"TOX3",0.216,-Inf,0.568,-Inf,0.429,0.826,"VIP","TOX3"
"SDK1.1",0.216,-Inf,0.568,-Inf,0.833,0.963,"VIP","SDK1"
"PAPSS2.1",0.217,-Inf,0.566,-Inf,0.095,0.612,"VIP","PAPSS2"
"ERBB4.1",0.217,-Inf,0.566,-Inf,1,1,"VIP","ERBB4"
"ADGRL2.3",0.217,-242.588255418851,0.566,-349.980873070682,0.929,0.949,"VIP","ADGRL2"
"SRGAP3.1",0.218,-299.533729937539,0.564,-432.135826759861,0.881,0.968,"VIP","SRGAP3"
"EFNA5.2",0.221,-308.868893271077,0.558,-445.603620607046,0.619,0.879,"VIP","EFNA5"
"PLXNA4",0.777,-137.195928634581,0.554,-197.931885871266,0.905,0.617,"VIP","PLXNA4"
"VIP",0.775,-Inf,0.55,-Inf,0.667,0.12,"VIP","VIP"
"SPHKAP.1",0.225,-Inf,0.55,-Inf,0.262,0.691,"VIP","SPHKAP"
"CHSY3.1",0.225,-466.800228392565,0.55,-673.45037458779,0.952,0.993,"VIP","CHSY3"
"SYNE1",0.774,-14.7266006511387,0.548,-21.2459937285499,1,0.997,"VIP","SYNE1"
"RIMBP2.1",0.226,-Inf,0.548,-Inf,0.929,0.985,"VIP","RIMBP2"
"XKR4.2",0.227,-427.622368847253,0.546,-616.928670909123,0.976,0.991,"VIP","XKR4"
"EXT1.1",0.228,-Inf,0.544,-Inf,0.929,0.981,"VIP","EXT1"
"OSBPL8",0.771,37.7220093324005,0.542,54.4213557962215,1,0.953,"VIP","OSBPL8"
"UNC13C.2",0.229,-Inf,0.542,-Inf,0.476,0.816,"VIP","UNC13C"
"PTK2B",0.77,-168.486013549454,0.54,-243.073936206948,0.69,0.248,"VIP","PTK2B"
"ZNF704.2",0.23,-Inf,0.54,-Inf,0.524,0.888,"VIP","ZNF704"
"KCNJ3.1",0.769,-132.895877450467,0.538,-191.728223352375,1,0.989,"VIP","KCNJ3"
"TRHDE.1",0.768,-97.0176525744712,0.536,-139.966886247878,0.857,0.66,"VIP","TRHDE"
"PCSK2.2",0.767,-123.514443050318,0.534,-178.193674466855,1,0.966,"VIP","PCSK2"
"STAT4",0.235,-Inf,0.53,-Inf,0.19,0.657,"VIP","STAT4"
"TRPC3.1",0.236,-Inf,0.528,-Inf,0.095,0.572,"VIP","TRPC3"
"KCTD8.1",0.237,-311.115520351363,0.526,-448.844818354501,0.667,0.893,"VIP","KCTD8"
"NCOA1",0.761,-48.6730922055354,0.522,-70.2204287496572,1,0.993,"VIP","NCOA1"
"SLIT3.1",0.76,-280.163617001623,0.52,-404.190660885756,0.952,0.84,"VIP","SLIT3"
"OSBPL6.2",0.24,-432.768301464856,0.52,-624.352682377288,0.905,0.962,"VIP","OSBPL6"
"TRIM9.1",0.759,-7.34098810382226,0.518,-10.5908071326093,1,0.88,"VIP","TRIM9"
"NR3C2.1",0.759,-Inf,0.518,-Inf,1,0.968,"VIP","NR3C2"
"UNC5C.2",0.241,-Inf,0.518,-Inf,0.738,0.918,"VIP","UNC5C"
"STXBP6",0.757,Inf,0.514,Inf,0.738,0.348,"VIP","STXBP6"
"CHL1.2",0.754,-163.971831959936,0.508,-236.561348814077,1,0.994,"VIP","CHL1"
"SOX2-OT.1",0.247,-Inf,0.506,-Inf,0.976,0.994,"VIP","SOX2-OT"
"MAST4.2",0.247,-231.474768704201,0.506,-333.947500900471,0.952,0.985,"VIP","MAST4"
"TMEM132D.3",0.248,-227.700953093843,0.504,-328.503035834177,0.929,0.977,"VIP","TMEM132D"
"PLAGL1.1",0.249,-Inf,0.502,-Inf,0.167,0.604,"VIP","PLAGL1"
